arm,label,unit,scheme,n_bins,ece,ci_lo,ci_hi,n_boot,n_items,n_groups,seed_ece_min,seed_ece_max,seed_ece_spread,n_seeds,null_lo,null_hi,inside_null_band,point_below_ci_lo,n_bins_occupied,bin_count_min,bin_count_max,mean_predicted,observed_rate
R2_demo,deterioration_mortality_365d,record,equal_width,15,0.046576581924746514,0.03358812762473324,0.05952313776130437,10000,6428,3636,0.029889138859561782,0.04811174958397243,0.018222610724410646,5,0.0017958777401132786,0.01055800187340437,False,False,4,116,3420,0.13744665332958678,0.14250155569383946
R2_demo,deterioration_mortality_365d,record,equal_mass,15,0.04951875851566219,0.04202917678261047,0.06542972104967718,10000,6428,3636,0.031795147088457085,0.08561524663416667,0.053820099545709585,5,0.00840977791716722,0.01813305688472341,False,False,15,254,596,0.13744665332958678,0.14250155569383946
R3_acqctx_pre,deterioration_icu_24h,record,equal_width,15,0.006973940475061561,0.0067322614847109205,0.018077555293482,10000,6407,3626,0.008880972303358397,0.014118860127443983,0.005237887824085586,5,0.0053632487963466546,0.01444348159592678,True,False,12,7,2951,0.12260156966759553,0.12595598564070548
R3_acqctx_pre,deterioration_icu_24h,record,equal_mass,15,0.008472690165054086,0.009010824883354045,0.020475916533203433,10000,6407,3626,0.006696570627742617,0.012555255665116918,0.0058586850373743005,5,0.006788665871216617,0.015178905749960777,True,True,15,427,428,0.12260156966759553,0.12595598564070548
R3_acqctx_pre,deterioration_mortality_28d,record,equal_width,15,0.01116945353228213,0.006426054675829168,0.016476636984691446,10000,6428,3636,0.0021095822326359995,0.011847617963277119,0.00973803573064112,5,0.0007170231821279151,0.005775504466520916,False,False,4,1,6002,0.04030837454843295,0.04215930304915993
R3_acqctx_pre,deterioration_mortality_28d,record,equal_mass,15,0.019614981602436864,0.016139270899503292,0.025532110267566188,10000,6428,3636,0.011727754658036731,0.027283078354362066,0.015555323696325335,5,0.004866725347262318,0.010449304004328423,False,False,15,428,429,0.04030837454843295,0.04215930304915993
R3_acqctx_pre,deterioration_mortality_365d,record,equal_width,15,0.019383656339606734,0.011384655357418437,0.030933183875470203,10000,6428,3636,0.011706539729723933,0.023957092470005246,0.012250552740281313,5,0.0034229492592501407,0.013616996483956508,False,False,7,3,2216,0.1368153860021029,0.14250155569383946
R3_acqctx_pre,deterioration_mortality_365d,record,equal_mass,15,0.02023812867029277,0.016654286785132515,0.03508333428279591,10000,6428,3636,0.013969108938786425,0.03145300398546546,0.017483895046679035,5,0.007903905446940588,0.018222346666869463,False,False,15,428,429,0.1368153860021029,0.14250155569383946
R3b_acqctx_window,deterioration_icu_24h,record,equal_width,15,0.01699603756985797,0.013450031413384017,0.026921858722078643,10000,6407,3626,0.0071081842200051365,0.06658252996143356,0.059474345741428424,5,0.00506510805369038,0.013246706353216559,False,False,11,2,2779,0.1216704167128499,0.12595598564070548
R3b_acqctx_window,deterioration_icu_24h,record,equal_mass,15,0.01752699925539817,0.01424392737256433,0.027568508770569912,10000,6407,3626,0.006519085903427015,0.07693942378957416,0.07042033788614716,5,0.006709955282884331,0.01614408664103015,False,False,15,427,428,0.1216704167128499,0.12595598564070548
R3b_acqctx_window,deterioration_mortality_28d,record,equal_width,15,0.010073518827158007,0.005391361433618224,0.015691456837583894,10000,6428,3636,0.004965429440176911,0.011762662404330345,0.0067972329641534344,5,0.0014075640398925997,0.00686333714748883,False,False,6,3,5340,0.040360618116748126,0.04215930304915993
R3b_acqctx_window,deterioration_mortality_28d,record,equal_mass,15,0.010176958960376133,0.008204280296529061,0.017108570359178638,10000,6428,3636,0.00808041090047911,0.014352467814402555,0.006272056913923445,5,0.004478068143949017,0.010119136393728058,False,False,15,428,429,0.040360618116748126,0.04215930304915993
R3b_acqctx_window,deterioration_mortality_365d,record,equal_width,15,0.010519026441567155,0.007062217277120674,0.023734661068557535,10000,6428,3636,0.009311010025962635,0.01594287485593154,0.006631864829968906,5,0.003909440393096016,0.014601370030973945,True,False,8,2,1809,0.13658402717867033,0.14250155569383946
R3b_acqctx_window,deterioration_mortality_365d,record,equal_mass,15,0.016951697784541142,0.014073220323238182,0.02983143784073622,10000,6428,3636,0.013617809866624106,0.022360951051807333,0.008743141185183228,5,0.008125381761574716,0.0174574691076755,True,False,15,428,429,0.13658402717867033,0.14250155569383946
R4_demo_acq,deterioration_icu_24h,record,equal_width,15,0.008717817143991018,0.007797682897214131,0.019832309849993963,10000,6407,3626,0.008499362630692295,0.009242426978694231,0.0007430643480019362,5,0.005058065351748398,0.014104187303458044,True,False,12,24,3072,0.12193463100865423,0.12595598564070548
R4_demo_acq,deterioration_icu_24h,record,equal_mass,15,0.00940929901929214,0.008602054168197445,0.020395162109931742,10000,6407,3626,0.0070925143395703825,0.012326772051389536,0.005234257711819154,5,0.006281369945264886,0.014483919368985236,True,False,15,427,428,0.12193463100865423,0.12595598564070548
R4_demo_acq,deterioration_mortality_28d,record,equal_width,15,0.005034265166197771,0.003042088374041445,0.010832511361809728,10000,6428,3636,0.0029497630648653533,0.0053268255515346195,0.002377062486669266,5,0.0015420001495408647,0.00725779093246705,True,False,7,1,5278,0.04001575170053188,0.04215930304915993
R4_demo_acq,deterioration_mortality_28d,record,equal_mass,15,0.009319829195679273,0.006577042221928355,0.01517004251731236,10000,6428,3636,0.0056623390330635915,0.009190127433350348,0.0035277884002867564,5,0.0038324848150316803,0.009760643577456965,True,False,15,428,429,0.04001575170053188,0.04215930304915993
R4_demo_acq,deterioration_mortality_365d,record,equal_width,15,0.06285566566716563,0.051907056548159754,0.07436816036513551,10000,6428,3636,0.03163328921497382,0.0901936759695647,0.058560386754590875,5,0.003121711208443751,0.01259649437308021,False,False,6,13,3343,0.1363822300632089,0.14250155569383946
R4_demo_acq,deterioration_mortality_365d,record,equal_mass,15,0.06425884807427167,0.05336058226009853,0.07535744878557149,10000,6428,3636,0.03253345161474499,0.09721410225767141,0.06468065064292641,5,0.007827941310811949,0.01882346427223402,False,False,15,428,429,0.1363822300632089,0.14250155569383946
R5_tabular,deterioration_icu_24h,record,equal_width,15,0.010298974244891124,0.009938159039904788,0.020431296081729458,10000,6407,3626,0.008922385339452476,0.01231847595138854,0.0033960906119360635,5,0.005618240437551042,0.012691184070408935,True,False,15,49,4460,0.12055904293104396,0.12595598564070548
R5_tabular,deterioration_icu_24h,record,equal_mass,15,0.011706798557585097,0.009346274547641592,0.0203705927109985,10000,6407,3626,0.009885041640461651,0.012605897458436122,0.0027208558179744706,5,0.004932083032046832,0.011980095899057795,True,False,15,424,430,0.12055904293104396,0.12595598564070548
