arm,label,scheme,bin,n,mean_predicted,observed_rate,gap
R2_demo,deterioration_mortality_365d,equal_mass,10,331,0.1549511081141041,0.22658610271903323,0.07163499460492914
R2_demo,deterioration_mortality_365d,equal_mass,11,406,0.1694896431612611,0.19458128078817735,0.02509163762691624
R2_demo,deterioration_mortality_365d,equal_mass,12,472,0.18771896008243938,0.2563559322033898,0.06863697212095043
R2_demo,deterioration_mortality_365d,equal_mass,13,396,0.20912438628325136,0.26515151515151514,0.056027128868263776
R2_demo,deterioration_mortality_365d,equal_mass,14,411,0.25812785317789,0.41849148418491483,0.16036363100702483
R3_acqctx_pre,deterioration_icu_24h,equal_width,0,2951,0.0343796896783071,0.0325313453066757,-0.001848344371631401
R3_acqctx_pre,deterioration_icu_24h,equal_width,1,1603,0.09894717378069333,0.10792264504054896,0.008975471259855636
R3_acqctx_pre,deterioration_icu_24h,equal_width,2,691,0.16035614723001496,0.16353111432706222,0.00317496709704726
R3_acqctx_pre,deterioration_icu_24h,equal_width,3,302,0.23449675665558542,0.23509933774834438,0.0006025810927589581
R3_acqctx_pre,deterioration_icu_24h,equal_width,4,313,0.30135588815182407,0.30990415335463256,0.008548265202808492
R3_acqctx_pre,deterioration_icu_24h,equal_width,5,263,0.362934687447339,0.41064638783269963,0.047711700385360656
R3_acqctx_pre,deterioration_icu_24h,equal_width,6,90,0.42787491191634414,0.4222222222222222,-0.005652689694121915
R3_acqctx_pre,deterioration_icu_24h,equal_width,7,55,0.4977629964348205,0.4727272727272727,-0.025035723707547808
R3_acqctx_pre,deterioration_icu_24h,equal_width,8,44,0.568187162068859,0.5,-0.068187162068859
R3_acqctx_pre,deterioration_icu_24h,equal_width,9,51,0.6324458920372865,0.6078431372549019,-0.024602754782384606
R3_acqctx_pre,deterioration_icu_24h,equal_width,10,37,0.6946363072988918,0.7027027027027027,0.008066395403810933
R3_acqctx_pre,deterioration_icu_24h,equal_width,11,7,0.74270187738196,0.8571428571428571,0.11444097976089707
R3_acqctx_pre,deterioration_icu_24h,equal_mass,0,427,0.013796768421616966,0.00702576112412178,-0.006771007297495186
R3_acqctx_pre,deterioration_icu_24h,equal_mass,1,427,0.018688091895882355,0.01639344262295082,-0.0022946492729315343
R3_acqctx_pre,deterioration_icu_24h,equal_mass,2,427,0.024954697990700728,0.02810304449648712,0.0031483465057863917
R3_acqctx_pre,deterioration_icu_24h,equal_mass,3,427,0.03257665074206072,0.01639344262295082,-0.016183208119109897
R3_acqctx_pre,deterioration_icu_24h,equal_mass,4,427,0.041672182585499304,0.0468384074941452,0.005166224908645899
R3_acqctx_pre,deterioration_icu_24h,equal_mass,5,427,0.05058378828908579,0.05620608899297424,0.005622300703888451
R3_acqctx_pre,deterioration_icu_24h,equal_mass,6,427,0.06132543679556764,0.06088992974238876,-0.0004355070531788796
R3_acqctx_pre,deterioration_icu_24h,equal_mass,7,428,0.07539044647804372,0.08644859813084112,0.011058151652797402
R3_acqctx_pre,deterioration_icu_24h,equal_mass,8,427,0.0933997762560907,0.08665105386416862,-0.006748722391922077
R3_acqctx_pre,deterioration_icu_24h,equal_mass,9,427,0.11213764745432794,0.12646370023419204,0.014326052779864096
R3_acqctx_pre,deterioration_icu_24h,equal_mass,10,427,0.13060979884871018,0.15456674473067916,0.023956945881968977
R3_acqctx_pre,deterioration_icu_24h,equal_mass,11,427,0.15953976315918791,0.15456674473067916,-0.004973018428508752
R3_acqctx_pre,deterioration_icu_24h,equal_mass,12,427,0.22268062825731316,0.22716627634660422,0.0044856480892910555
R3_acqctx_pre,deterioration_icu_24h,equal_mass,13,427,0.3139531872389738,0.33489461358313816,0.02094142634416435
R3_acqctx_pre,deterioration_icu_24h,equal_mass,14,428,0.4869719189472655,0.48598130841121495,-0.0009906105360505402
R3_acqctx_pre,deterioration_mortality_28d,equal_width,0,6002,0.036854914522719426,0.03215594801732756,-0.004698966505391866
R3_acqctx_pre,deterioration_mortality_28d,equal_width,1,408,0.08615806898507092,0.18872549019607843,0.10256742121100751
R3_acqctx_pre,deterioration_mortality_28d,equal_width,2,17,0.14975163121285717,0.058823529411764705,-0.09092810180109247
R3_acqctx_pre,deterioration_mortality_28d,equal_width,3,1,0.20076475543791444,0.0,-0.20076475543791444
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,0,428,0.024673924381410833,0.002336448598130841,-0.022337475783279992
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,1,429,0.0263232479128825,0.004662004662004662,-0.021661243250877836
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,2,428,0.02798735784697027,0.018691588785046728,-0.009295769061923542
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,3,429,0.029110560817957182,0.011655011655011656,-0.017455549162945526
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,4,428,0.030096541021219395,0.02102803738317757,-0.009068503638041826
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,5,429,0.03143919455595792,0.016317016317016316,-0.015122178238941606
R3_acqctx_pre,deterioration_mortality_28d,equal_mass,6,428,0.03335180426449396,0.018691588785046728,-0.014660215479447233
