arm,label,unit,threshold,net_benefit,net_benefit_treat_all,net_benefit_treat_none,flagged_fraction,prevalence,n_items,n_groups
R2_demo,deterioration_icu_24h,record,0.16,0.004786431507205658,-0.04052858852296967,0.0,0.07242078976119869,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.17,0.0012411124128165539,-0.0530650775413187,0.0,0.018729514593413453,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.18,9.517029773075964e-05,-0.06590733458450548,0.0,0.011705946620883409,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.19,0.0,-0.07906668439419073,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.2,0.0,-0.09255501794911813,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.21,0.0,-0.10638482830290441,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.22,0.0,-0.1205692491785827,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.23,0.0,-0.13512209657051233,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.24,0.0,-0.15005791363065063,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.25,0.0,-0.165392019145726,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.26,0.0,-0.18114055994499256,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.27,0.0,-0.19732056761547195,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.28,0.0,-0.21395001994346463,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.29,0.0,-0.23104790754830212,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.3,0.0,-0.2486343062275636,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.31,0.0,-0.2667304555931805,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.32,0.0,-0.28535884464602135,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.33,0.0,-0.30454330501387245,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.34,0.0,-0.3243091126655978,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.35,0.0,-0.3446830990142992,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.36,0.0,-0.36569377243639767,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.37,0.0,-0.3873714513639595,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.38,0.0,-0.4097484102569266,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.39,0.0,-0.43285903993326974,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.4,0.0,-0.45674002393215757,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.41,0.0,-0.4814305328123634,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.42,0.0,-0.5069724385505077,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.43,0.0,-0.533410551507534,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.44,0.0,-0.5607928827844544,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.45,0.0,-0.5891709351987171,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.46,0.0,-0.6186000265912861,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.47,0.0,-0.6491396497345179,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.48,0.0,-0.680853873767874,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.49,0.0,-0.7138117928613616,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.5,0.0,-0.7480880287185889,0.0,0.0,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.01,0.11713041133986975,0.11712725822293484,0.0,0.9996878414234431,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.02,0.10922364887893662,0.10811835269459744,0.0,0.8834087716560013,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.03,0.10196804719065326,0.09892369653680977,0.0,0.7871078507882004,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.04,0.09598225898756568,0.08953748504240154,0.0,0.7126580302793819,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.05,0.0891048442082262,0.07995366909547946,0.0,0.6357109411581083,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.06,0.08401382796077428,0.07016594217096328,0.0,0.5723427501170595,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.07,0.07882171885253192,0.060167726495382226,0.0,0.5247385671921336,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.08,0.07326226070669987,0.049952158305114666,0.0,0.48025597003277665,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.09,0.06950330768030161,0.03951207213264339,0.0,0.44529420945840487,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.1,0.06534519535924249,0.028839984045228306,0.0,0.4076791009832995,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.11,0.061223416102121446,0.01792807375360167,0.0,0.37443421257999066,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.12,0.05760035188784995,0.006768165500801698,0.0,0.33978461058217574,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.13,0.05340961484296092,-0.004648292367005202,0.0,0.30170126424223503,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.14,0.049716697943020166,-0.01633024925499363,0.0,0.2698610894334322,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.15,0.046731975137487496,-0.028287075716817073,0.0,0.24816606836272825,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.16,0.04396976521215634,-0.04052858852296967,0.0,0.22959263305759325,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.17,0.042818378242171114,-0.0530650775413187,0.0,0.21695021070703918,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.18,0.041010784698138854,-0.06590733458450548,0.0,0.20337131262681443,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.19,0.03959596660288611,-0.07906668439419073,0.0,0.19182144529420947,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.2,0.03757608865303574,-0.09255501794911813,0.0,0.18136413297955362,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.21,0.03538850900814576,-0.10638482830290441,0.0,0.17605743717808647,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.22,0.032920723727653645,-0.1205692491785827,0.0,0.16918994849383487,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.23,0.03139423398515018,-0.13512209657051233,0.0,0.16294677696269705,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.24,0.03036152891984918,-0.15005791363065063,0.0,0.15358201966599033,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.25,0.028926694760938558,-0.165392019145726,0.0,0.14484157952239737,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.26,0.027022808667884365,-0.18114055994499256,0.0,0.13859840799125955,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.27,0.02595406137550752,-0.19732056761547195,0.0,0.13157484001872952,0.12595598564070548,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.28,0.024504448259715934,-0.21395001994346463,0.0,0.12595598564070548,0.12595598564070548,6407,3626
