table,row_key,column,text,value,format,source_file,source_key,source_column,aggregate,unit
T1,meta|deterioration_mortality_28d,n_patients,3636,3636.0,.0f,results/p3_arms.csv,arm=R2_demo;label=deterioration_mortality_28d,n_groups,,record
T1,meta|deterioration_mortality_28d,prevalence,0.0422,0.0421593030491599,.4f,results/p3_arms.csv,arm=R2_demo;label=deterioration_mortality_28d,prevalence,,record
T1,meta|deterioration_mortality_365d,n_ecgs,6428,6428.0,.0f,results/p3_arms.csv,arm=R2_demo;label=deterioration_mortality_365d,n_items,,record
T1,meta|deterioration_mortality_365d,n_patients,3636,3636.0,.0f,results/p3_arms.csv,arm=R2_demo;label=deterioration_mortality_365d,n_groups,,record
T1,meta|deterioration_mortality_365d,prevalence,0.1425,0.1425015556938394,.4f,results/p3_arms.csv,arm=R2_demo;label=deterioration_mortality_365d,prevalence,,record
T2,G1_primary,measured,-0.0216,-0.021649568864438695,+.4f,results/p1_verdict.json,path=verdict.per_label;label=deterioration_mortality_365d,paired_difference,,record
T2,G1_primary,measured,-0.0523,-0.05233405862931693,+.4f,results/p1_verdict.json,path=verdict.per_label;label=deterioration_mortality_365d,paired_ci.0,,record
T2,G1_primary,measured,+0.0098,0.009792645485666971,+.4f,results/p1_verdict.json,path=verdict.per_label;label=deterioration_mortality_365d,paired_ci.1,,record
T2,G1_primary,pre-declared,0.0043,0.00428640013689896,.4f,results/p1_verdict.json,path=verdict.per_label;label=deterioration_mortality_365d,seed_and_noise_spread,,record
T2,G1_primary,outcome,FAILED,,verdict,results/p1_verdict.json,path=verdict.per_label;label=deterioration_mortality_365d,beats_demographics_beyond_noise,,not_applicable
T2,recovery_primary,measured,0.6803,0.6803021685332998,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d;is_primary=True,estimate,,record
T2,recovery_primary,measured,0.6149,0.6149324821071007,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d;is_primary=True,ci_lo,,record
T2,recovery_primary,measured,0.7476,0.7476139961098882,.4f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d;is_primary=True,ci_hi,,record
T2,recovery_primary,pre-declared,0.70,0.7,.2f,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d;is_primary=True,target,,record
T2,recovery_primary,outcome,FAILED,,verdict,results/p3_recovery.csv,arm=R3_acqctx_pre;label=deterioration_mortality_365d;is_primary=True,meets_target,,not_applicable
